Schulnummer;Kurzbezeichnung;Bezirksregierung;Kreis;Gemeinde;Sozialindexstufe
100011;Haan, GE Walder Stra·e;BR DÅsseldorf;Kreis Mettmann;Haan;4
100012;Leverkusen, GG Am Friedenspark;BR Kîln;Stadt Leverkusen;Leverkusen;9
100014;Herne, GG Kolibri-Schule;BR Arnsberg;Stadt Herne;Herne;5
100015;DÅsseldorf, Gym Wim-Wenders;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100016;Stolberg, GE KupferstÑdter;BR Kîln;StÑdteregion Aachen;Stolberg (Rhld.);5
100017;HÅrth, GG Bonnstra·e;BR Kîln;Rhein-Erft-Kreis;HÅrth;4
100019;Kleve, GE Joseph Beuys;BR DÅsseldorf;Kreis Kleve;Kleve;7
100020;DÅsseldorf, KG Kartause-Hain-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100021;Tînisvorst, GE Rupert-Neudeck;BR DÅsseldorf;Kreis Viersen;Tînisvorst;4
100022;Medebach, SK Medebach-Winterberg;BR Arnsberg;Hochsauerlandkreis;Medebach;2
100023;Lengerich, GE Lengerich/Tecklenburg;BR MÅnster;Kreis Steinfurt;Lengerich;3
100024;Gronau, GE Euregioschule;BR MÅnster;Kreis Borken;Gronau (Westf.);3
100026;Bad Driburg, GG Schule unter der Iburg;BR Detmold;Kreis Hîxter;Bad Driburg;2
100028;Essen, RS im Bezirk Zollverein;BR DÅsseldorf;Stadt Essen;Essen;8
100029;Oberhausen,GG Schule a. d. Oranienstra·e;BR DÅsseldorf;Stadt Oberhausen;Oberhausen;3
100032;BrÅhl, GG (Verb.) Regenbogenschule;BR Kîln;Rhein-Erft-Kreis;BrÅhl;7
100036;Kîln, GE Gesamtschule Helios;BR Kîln;Stadt Kîln;Kîln;3
100038;LÅdenscheid, GG Wefelshohl;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;6
100040;Kîln, Gym Neue Sandkaul;BR Kîln;Stadt Kîln;Kîln;2
100041;Kîln, GE Wasseramselweg;BR Kîln;Stadt Kîln;Kîln;4
100042;Geldern, GE Kînigsberger Stra·e;BR DÅsseldorf;Kreis Kleve;Geldern;4
100044;GÅtersloh, GE an der Ahornallee;BR Detmold;Kreis GÅtersloh;GÅtersloh;3
100045;Bielefeld, RS am Schlehenweg;BR Detmold;Stadt Bielefeld;Bielefeld;6
100046;Bielefeld, SK KînigsbrÅgge;BR Detmold;Stadt Bielefeld;Bielefeld;7
100047;Bielefeld, SK Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;5
100048;Bochum, GE Bochum-Mitte;BR Arnsberg;Stadt Bochum;Bochum;8
100051;Hamm, GE Arnold-Freymuth-Gesamtschule;BR Arnsberg;Stadt Hamm;Hamm;6
100052;Neuss, GE Comenius-Gesamtschule;BR DÅsseldorf;Rhein-Kreis Neuss;Neuss;6
100053;Dorsten, SK Juliusstra·e;BR MÅnster;Kreis Recklinghausen;Dorsten;4
100054;Wuppertal, GG MatthÑusstra·e;BR DÅsseldorf;Stadt Wuppertal;Wuppertal;9
100061;DÅsseldorf, GG Steinkaul;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100063;Wesel, GE Ida Noddack;BR DÅsseldorf;Kreis Wesel;Wesel;7
100064;Bonn, GG Am Apfelgarten;BR Kîln;Stadt Bonn;Bonn;5
100065;MÅnster, GG Wolbeck - Nord;BR MÅnster;Stadt MÅnster;MÅnster;3
100066;Essen, GH GlÅckauf-Schule;BR DÅsseldorf;Stadt Essen;Essen;9
100067;DÅsseldorf, KG Niederkassel;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100068;Kîln, GE Berrenrather Stra·e;BR Kîln;Stadt Kîln;Kîln;4
100069;Monheim am Rhein, GE Ulla-Hahn;BR DÅsseldorf;Kreis Mettmann;Monheim am Rhein;6
100070;Velbert, GE Waldschlîsschen;BR DÅsseldorf;Kreis Mettmann;Velbert;2
100071;Kîln, GE DellbrÅcker Mauspfad;BR Kîln;Stadt Kîln;Kîln;4
100077;Dinslaken, GE Hiesfeld;BR DÅsseldorf;Kreis Wesel;Dinslaken;3
100079;DÅsseldorf, KG Paulus Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100085;Duisburg, GE Green-Gesamtschule;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
100088;Velbert, GG Kastanienallee;BR DÅsseldorf;Kreis Mettmann;Velbert;7
100089;Bornheim, GE Bornheim 2;BR Kîln;Rhein-Sieg-Kreis;Bornheim;4
100090;Essen, RS Kettwig;BR DÅsseldorf;Stadt Essen;Essen;2
100091;LÅdenscheid, GG Ida Gerhardi;BR Arnsberg;MÑrkischen Kreis;LÅdenscheid;5
100092;DÅsseldorf, KG Rather Kreuzweg;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100093;Beckum, GG an den Kastanien;BR MÅnster;Kreis Warendorf;Beckum;3
100094;Dorsten, GG Bonifatiusschule;BR MÅnster;Kreis Recklinghausen;Dorsten;4
100096;Rîsrath, GE Rîsrath;BR Kîln;Rheinisch-Bergischen Kreis;Rîsrath;3
100098;Ahlen, GE Therese-MÅnsterteicher;BR MÅnster;Kreis Warendorf;Ahlen;6
100103;Rheinberg, GE Europaschule Rheinberg;BR DÅsseldorf;Kreis Wesel;Rheinberg;3
100104;Neuenrade, SK Hînnequellschule;BR Arnsberg;MÑrkischen Kreis;Neuenrade;3
100107;Morsbach SK Leonardo-da-Vinci;BR Kîln;Oberbergischen Kreis;Morsbach;2
100108;Kalletal, SK Jacobischule;BR Detmold;Kreis Lippe;Kalletal;2
100109;DÅsseldorf, KG Marienschule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100111;Langenberg, SK Konrad-Zuse;BR Detmold;Kreis GÅtersloh;Langenberg;2
100112;Ascheberg, SK Bahnhofsweg;BR MÅnster;Kreis Coesfeld;Ascheberg;2
100113;Kîln, GG Gaedestrasse;BR Kîln;Stadt Kîln;Kîln;4
100115;Recklinghausen, GG Cornelia Funke Schule;BR MÅnster;Kreis Recklinghausen;Recklinghausen;9
100116;Herne, GG Galileo-Schule;BR Arnsberg;Stadt Herne;Herne;8
100119;Herscheid, GG Rahlenberg;BR Arnsberg;MÑrkischen Kreis;Herscheid;2
100122;DÅsseldorf, KG Hermann Gmeiner Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;7
100125;Neuenkirchen, GE Emmy-Noether;BR MÅnster;Kreis Steinfurt;Neuenkirchen;2
100126;Castrop-Rauxel, GE Gesamtsch.Ickern;BR MÅnster;Kreis Recklinghausen;Castrop-Rauxel;4
100128;Krefeld, GG Vulkanstra·e;BR DÅsseldorf;Stadt Krefeld;Krefeld;9
100129;Swisttal, GE Swisttal;BR Kîln;Rhein-Sieg-Kreis;Swisttal;3
100130;Minden, SK Am Wiehen;BR Detmold;Kreis Minden-LÅbbecke;Minden;5
100131;Mettmann, GE Borner Weg;BR DÅsseldorf;Kreis Mettmann;Mettmann;5
100132;Dortmund, GE Reinoldi-Gesamtschule;BR Arnsberg;Stadt Dortmund;Dortmund;6
100135;Gelsenkirchen, GG an der Ebersteinstra·e;BR MÅnster;Stadt Gelsenkirchen;Gelsenkirchen;8
100137;Krefeld, GG Felbelstra·e;BR DÅsseldorf;Stadt Krefeld;Krefeld;9
100143;Monheim, GG Bregenzer Stra·e;BR DÅsseldorf;Kreis Mettmann;Monheim am Rhein;1
100144;Monheim, GG Im Pfingsterfeld;BR DÅsseldorf;Kreis Mettmann;Monheim am Rhein;5
100145;Kîln, Gym Zusestra·e;BR Kîln;Stadt Kîln;Kîln;2
100147;Kîln, Gym MÅngersdorf;BR Kîln;Stadt Kîln;Kîln;2
100148;Bergheim, GG Hermann-Gmeiner-Schule;BR Kîln;Rhein-Erft-Kreis;Bergheim;3
100149;Bergheim, GG Odilia-Weidenfeld;BR Kîln;Rhein-Erft-Kreis;Bergheim;2
100153;Witten, GE Otto-Schott-Gesamtschule;BR Arnsberg;Ennepe-Ruhr-Kreis;Witten;5
100157;Krefeld, GG Schule im Haus der Bildung M;BR DÅsseldorf;Stadt Krefeld;Krefeld;6
100158;DÅsseldorf, KG Josef-Kleesattel-Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100159;Kîln, GG Alfons-Nowak-Stra·e;BR Kîln;Stadt Kîln;Kîln;3
100160;DÅsseldorf, GG Kaiserswerth;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100167;Kamp-Lintfort, GG Vinnstra·e;BR DÅsseldorf;Kreis Wesel;Kamp-Lintfort;3
100171;DÅsseldorf, KG Unter den Eichen;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100172;Grevenbroich, GE 3. Gesamtschule;BR DÅsseldorf;Rhein-Kreis Neuss;Grevenbroich;3
100173;Wermelskirchen, GE WirtsmÅhler Str.;BR Kîln;Rheinisch-Bergischen Kreis;Wermelskirchen;3
100174;Alfter, Gym Alfter;BR Kîln;Rhein-Sieg-Kreis;Alfter;2
100175;Siegen, GE Am Rosterberg;BR Arnsberg;Kreis Siegen-Wittgenstein;Siegen;6
100176;Grefrath, GG Oedt;BR DÅsseldorf;Kreis Viersen;Grefrath;4
100177;Dortmund, GE im SÅden;BR Arnsberg;Stadt Dortmund;Dortmund;4
100178;Gronau, GG GrÅne-Aue-Schule;BR MÅnster;Kreis Borken;Gronau (Westf.);5
100182;Wuppertal, GG Offene Grundschule Gewerbe;BR DÅsseldorf;Stadt Wuppertal;Wuppertal;9
100183;DÅsseldorf, KG Christophorus;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100184;Velbert, GG GrÅnstra·e;BR DÅsseldorf;Kreis Mettmann;Velbert;4
100185;DÅsseldorf, GE êlise Freinet;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100186;DÅsseldorf, RS Borbecker Stra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100187;DÅsseldorf, Gym Bernburger Stra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100189;Hagen, GG Wehringhausen;BR Arnsberg;Stadt Hagen;Hagen;9
100191;Moers, GG Annastra·e;BR DÅsseldorf;Kreis Wesel;Moers;9
100192;Bielefeld, GG Gellershagen;BR Detmold;Stadt Bielefeld;Bielefeld;4
100193;Bielefeld, GG Sieker;BR Detmold;Stadt Bielefeld;Bielefeld;8
100196;Minden, GG an der Bastau;BR Detmold;Kreis Minden-LÅbbecke;Minden;8
100197;Bad Salzuflen, GG Holzhausen;BR Detmold;Kreis Lippe;Bad Salzuflen;2
100198;Menden, GG Bodelschwinghschule;BR Arnsberg;MÑrkischen Kreis;Menden (Sauerland);4
100199;Unna, GG Hertinger Tor;BR Arnsberg;Kreis Unna;Unna;5
100202;Duisburg, GE Anne-Frank Gesamtschule;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
100203;Solingen, GE Vogelsang;BR DÅsseldorf;Stadt Solingen;Solingen;6
100204;Solingen, GG Augustastra·e;BR DÅsseldorf;Stadt Solingen;Solingen;8
100205;Kîln, Gym Nippes;BR Kîln;Stadt Kîln;Kîln;5
100206;Kîln, Gym Rondorf;BR Kîln;Stadt Kîln;Kîln;3
100207;Oberhausen, GE an der Knappenstra·e;BR DÅsseldorf;Stadt Oberhausen;Oberhausen;6
100209;MÅnster, GE MÅnster - West;BR MÅnster;Stadt MÅnster;MÅnster;4
100210;Kîln, GE Am Wassermann;BR Kîln;Stadt Kîln;Kîln;5
100211;Kîln, GE Weidenpesch;BR Kîln;Stadt Kîln;Kîln;5
100212;Kîln, GE Ossendorf;BR Kîln;Stadt Kîln;Kîln;6
100213;DÅsseldorf, GG Henri-Dunant-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100215;Essen, GG Meistersingerstra·e;BR DÅsseldorf;Stadt Essen;Essen;7
100218;Kîln, GG Friedrich-Karl-Stra·e;BR Kîln;Stadt Kîln;Kîln;ohne
100221;Gelsenkirchen, GG an der GrÑfte;BR MÅnster;Stadt Gelsenkirchen;Gelsenkirchen;ohne
100223;Mînchengladbach, GG Am Ringerberg;BR DÅsseldorf;Stadt Mînchengladbach;Mînchengladbach;ohne
100224;Paderborn, GG Schlo· Neuhaus;BR Detmold;Kreis Paderborn;Paderborn;ohne
100225;DÅsseldorf, GG Bingener Weg;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100226;Mînchengladbach, GG Wilhelm-Strau·-Str.;BR DÅsseldorf;Stadt Mînchengladbach;Mînchengladbach;ohne
100227;Dortmund, GG am BlÅcherpark;BR Arnsberg;Stadt Dortmund;Dortmund;ohne
100228;Frechen, GG Steinzeugschule;BR Kîln;Rhein-Erft-Kreis;Frechen;ohne
100229;Altenberge, KG Schule am Eiskeller;BR MÅnster;Kreis Steinfurt;Altenberge;ohne
100230;MÅnster, GG York;BR MÅnster;Stadt MÅnster;MÅnster;ohne
100231;Kîln, Gym Neustadt-Nord;BR Kîln;Stadt Kîln;Kîln;ohne
100232;Castrop-Rauxel, GG Am HÅgel;BR MÅnster;Kreis Recklinghausen;Castrop-Rauxel;ohne
100233;Kîln, Gym BrÅgelmannstra·e;BR Kîln;Stadt Kîln;Kîln;ohne
100234;Duisburg, GE Mitte-SÅd;BR DÅsseldorf;Stadt Duisburg;Duisburg;ohne
100235;Kîln, GE Kalk;BR Kîln;Stadt Kîln;Kîln;ohne
100237;DÅsseldorf, GG Gumbertstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100242;Bochum, GG Schule an der Hordeler Heide;BR Arnsberg;Stadt Bochum;Bochum;ohne
100250;DÅsseldorf, KG St. -Peter;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100262;DÅsseldorf, KG St. Michael Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100274;DÅsseldorf, KG Franz-Boehm-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100286;DÅsseldorf, KG St. Apollinaris Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100298;DÅsseldorf, KG Lohausen;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100304;DÅsseldorf, KG Mettmanner Stra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100316;DÅsseldorf, KG Hîhenstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100328;DÅsseldorf, GG Gutenberg Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100330;DÅsseldorf, GG Urdenbach;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100365;DÅsseldorf, GG Volker-Rosin-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100389;DÅsseldorf, GG Deutzer Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100390;DÅsseldorf, GG Am Kîhnen;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100420;DÅsseldorf, KG Carl Sonnenschein Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100432;DÅsseldorf, KG St.Bruno-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100444;DÅsseldorf, KG Paul-Klee-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100468;DÅsseldorf, KG Fuldaer Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100470;DÅsseldorf, GG Flurstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;7
100481;DÅsseldorf, KG Florensstra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100493;DÅsseldorf, KG Fleher Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100500;DÅsseldorf, KG Bonifatiusschule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100523;DÅsseldorf, KG St. Franziskus Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100535;DÅsseldorf, KG Essener Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100547;DÅsseldorf, KG St. CÑcilia Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100560;DÅsseldorf, KG Einsiedelstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100572;DÅsseldorf, KG Max-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100584;DÅsseldorf, KG St. Elisabeth Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100596;DÅsseldorf, KG St. Rochus-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100602;DÅsseldorf, KG Thomas-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100638;DÅsseldorf, GG Montessori-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100651;DÅsseldorf, GG Adolf-Klarenbach;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;7
100663;DÅsseldorf, GG Beedstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100675;DÅsseldorf, GG Selma-Lagerlîf;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100687;DÅsseldorf, EG Friedrich-v.Bodelschwingh;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100699;DÅsseldorf, GG Joachim Neander;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100705;DÅsseldorf, EG Brehm Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100717;DÅsseldorf, EG Elsa-Brandstrîm-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100730;DÅsseldorf, EG Martin-Luther-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100742;DÅsseldorf, GG Matthias-Claudius-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100754;DÅsseldorf, EG Hanna-ZÅrndorfer-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;2
100766;DÅsseldorf, GG Beckbusch-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100778;DÅsseldorf, GG Wickrather Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100780;DÅsseldorf, GG Vennhauser Allee;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100791;DÅsseldorf, GG SÅdallee;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100808;DÅsseldorf, GG Sonnenstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
100810;DÅsseldorf, GG Konkordiastr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
100821;DÅsseldorf, GG Don-Bosco-Montessori-Schu;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100833;DÅsseldorf, GG Rolandstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;4
100845;DÅsseldorf, GG Richardstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;7
100869;DÅsseldorf, GG Wrangelstra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;7
100870;DÅsseldorf, GG Neustrelitzer Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100882;DÅsseldorf, GG Schloss Benrath;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100894;DÅsseldorf, GG Max-Halbe-Stra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100900;DÅsseldorf, GG Theodor-Heuss-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100924;DÅsseldorf, GG Astrid-Lindgren-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
100936;DÅsseldorf, GG Lennestr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100950;DÅsseldorf, GG Krahnenburgstra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
100961;DÅsseldorf, GG Kronprinzenstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;1
100973;DÅsseldorf, GG Regenbogenschule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
100985;DÅsseldorf, GG Sternwartschule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;3
101000;DÅsseldorf, GG Ferdinand-Heye-Schule;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
101011;DÅsseldorf, GG Stoffeler Stra·e;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
101023;DÅsseldorf, GG (Verb.) Heinrich-Heine;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;6
101047;DÅsseldorf, GG Helmholtzstr.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;9
101059;DÅsseldorf, GG Adam-Stegerwald-Str.;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;8
101060;DÅsseldorf, GG Willi FÑhrmann;BR DÅsseldorf;Stadt DÅsseldorf;DÅsseldorf;5
101072;Duisburg, GG am Rîttgersbach;BR DÅsseldorf;Stadt Duisburg;Duisburg;4
101084;Duisburg, GG Hans-Christian-Andersen;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101126;Duisburg, KG am Bergmannsplatz;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101138;Duisburg, KG FÑhrmann;BR DÅsseldorf;Stadt Duisburg;Duisburg;4
101140;Duisburg, KG Nombericher Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;4
101151;Duisburg, GG Friedenstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101163;Duisburg, KG Bîhmer Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;1
101205;Duisburg, GG Schule im Dichterviertel;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101217;Duisburg, KG Abteischule;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
101242;Duisburg, KG Goldstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101254;Duisburg, KG Henriettenstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101266;Duisburg, KG Barbara;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101291;Duisburg, KG Grabenstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101321;Duisburg, GG Rahm;BR DÅsseldorf;Stadt Duisburg;Duisburg;2
101333;Duisburg, GG Tonstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101357;Duisburg, GG ZoppenbrÅckstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101369;Duisburg, GG Wrangelstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101370;Duisburg, GG Am Mattlerbusch;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101382;Duisburg, GG Schule am Park;BR DÅsseldorf;Stadt Duisburg;Duisburg;6
101394;Duisburg, GG Heinr.-Bongers-Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;4
101400;Duisburg, GG Hochfelder Markt;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101412;Duisburg, GG Bruckhausen;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101424;Duisburg, GG Sandstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101436;Duisburg, GG Salzmannschule;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
101448;Duisburg, GG Lange Kamp;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101473;Duisburg, GG Bîhmer Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101485;Duisburg, GG Mozartstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;4
101503;Duisburg, GG Lilienthalstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;6
101515;Duisburg, GG Klosterstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;6
101527;Duisburg, GG Hundertwasser-Schule;BR DÅsseldorf;Stadt Duisburg;Duisburg;8
101540;Duisburg, GG Humboldtstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;6
101552;Duisburg, GG Ruhrort;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
101564;Duisburg, GG BrÅckenstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101576;Duisburg, GG Hermann-Grothe-Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;1
101588;Duisburg, GG Beeckerwerth;BR DÅsseldorf;Stadt Duisburg;Duisburg;2
101606;Duisburg, GG Hebbelstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
101618;Duisburg, GG Habichtstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101620;Duisburg, GG Gro·enbaumer Allee;BR DÅsseldorf;Stadt Duisburg;Duisburg;2
101631;Duisburg, GG Kunterbunt;BR DÅsseldorf;Stadt Duisburg;Duisburg;7
101643;Duisburg, GG Regenbogenschule;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101655;Duisburg, GG Gartenstra·e;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101667;Duisburg, GG Laar;BR DÅsseldorf;Stadt Duisburg;Duisburg;8
101679;Duisburg, GG Eschenstr.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101692;Duisburg, GG Otfried-Preu·ler;BR DÅsseldorf;Stadt Duisburg;Duisburg;8
101709;Duisburg, GG Breite Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;9
101710;Duisburg, GG Berg;BR DÅsseldorf;Stadt Duisburg;Duisburg;5
101722;Duisburg, GG Am See;BR DÅsseldorf;Stadt Duisburg;Duisburg;2
101734;Duisburg, GG Wanheim;BR DÅsseldorf;Stadt Duisburg;Duisburg;8
101746;Duisburg, GG Albert-Schweitzer-Str.;BR DÅsseldorf;Stadt Duisburg;Duisburg;3
101771;Essen, KG Antoniusschule;BR DÅsseldorf;Stadt Essen;Essen;2
101801;Essen, KG Bischof-von-Ketteler-Schule;BR DÅsseldorf;Stadt Essen;Essen;4
101813;Essen, KG Christophorusschule;BR DÅsseldorf;Stadt Essen;Essen;6
101837;Essen, KG Dionysiusschule;BR DÅsseldorf;Stadt Essen;Essen;6
101850;Essen, KG Laurentiusschule;BR DÅsseldorf;Stadt Essen;Essen;2
101886;Essen, KG Nikolaus;BR DÅsseldorf;Stadt Essen;Essen;6
101898;Essen, KG Johann-Michael-Sailer-Schule;BR DÅsseldorf;Stadt Essen;Essen;3
101904;Essen, GG Bedingrade/ Schînebeck;BR DÅsseldorf;Stadt Essen;Essen;2
101916;Essen, GG Astrid Lindgren;BR DÅsseldorf;Stadt Essen;Essen;8
101930;Essen, KG MÅnsterschule;BR DÅsseldorf;Stadt Essen;Essen;8
101941;Essen, KG Winfried;BR DÅsseldorf;Stadt Essen;Essen;5
102003;Essen, KG (Verb.) Eichendorffschule;BR DÅsseldorf;Stadt Essen;Essen;2
102015;Essen, GG Heinrich-Strunk-Str.;BR DÅsseldorf;Stadt Essen;Essen;9
102027;Essen, KG Georg;BR DÅsseldorf;Stadt Essen;Essen;2
102040;Essen, KG Elisabeth;BR DÅsseldorf;Stadt Essen;Essen;4
102052;Essen, GG Gro·enbruch;BR DÅsseldorf;Stadt Essen;Essen;8
102064;Essen, GG Nordviertel;BR DÅsseldorf;Stadt Essen;Essen;9
102076;Essen, KG Altfried;BR DÅsseldorf;Stadt Essen;Essen;4
